,Job Title,Experience Required,Skills Required,Pay,Time Required,Discription,Job Link
0,Ai model use in mobile,Expert,"Machine Learning, Natural Language Processing",$100 Fixed-price,Fixed Time,"Need someone who has expertise in using vision language technology , need to use certain ml model which can do vision to language , ple…",https://www.upwork.com/freelance-jobs/apply/model-use-mobile_~021843982841139309806/
1,AI Engineer,Intermediate,"Machine Learning, Docker, Kubernetes, Artificial Intelligence, Apache Airflow",Payment to be Determined,30+ hrs/week Hours needed,"About New Age 
Our Values 
Our  core  values  are  'Honesty',  'Long  term  thinking',  'Effective  planning'.  We  really  appreciate…",https://www.upwork.com/freelance-jobs/apply/Engineer_~021843998652493599184/
2,OutSystems Generative AI Low-Code Platform Developer,Intermediate,,Payment to be Determined,30+ hrs/week Hours needed,"OutSystems Generative AI Low-Code Platform Developer with a strong background in software engineering and the logistics sector.
Respons…",https://www.upwork.com/freelance-jobs/apply/OutSystems-Generative-Low-Code-Platform-Developer_~021844007331637461964/
3,ML Engineer to combine image and enhance crack visibility,Expert,"Machine Learning, Image Processing, Python",$35 Fixed-price,Fixed Time,"- Combine four images into one, without changing properties, deleting any portion, and enhancing defect or crack visibility on image.
-…",https://www.upwork.com/freelance-jobs/apply/Engineer-combine-image-and-enhance-crack-visibility_~021844071002138346624/
4,Machine Learning Model Enhancement for Stock Prediction,Expert,"Machine Learning, Data Science, TensorFlow, Python, Python Scikit-Learn",$100 Fixed-price,Fixed Time,We are seeking an experienced machine learning expert to improve the accuracy of our stock market prediction model and generate reliabl…,https://www.upwork.com/freelance-jobs/apply/Machine-Learning-Model-Enhancement-for-Stock-Prediction_~021844130825493205577/
5,Help with AI-900 and AI-102,Intermediate,,Payment to be Determined,Less than 30 hrs/week Hours needed,Need help with questions to theory and labs during preparation to AI-900 and AI-102 Microsoft Certification. Best if you self passed 1…,https://www.upwork.com/freelance-jobs/apply/Help-with-900-and-102_~021843991326903607526/
6,Principal Machine Learning Engineer,Entry,"Machine Learning, Artificial Intelligence, TensorFlow, Data Science, Python",Payment to be Determined,Less than 30 hrs/week Hours needed,We are seeking a Principal Machine Learning Engineer to lead our AI initiatives and drive innovation within our team. The ideal candida…,https://www.upwork.com/freelance-jobs/apply/Principal-Machine-Learning-Engineer_~021843998667740513228/
7,Notion and Custom GPT Integration Tutorial via make.com ~ can't g…,Intermediate,"Machine Learning, API, TensorFlow, Python",Payment to be Determined,Less than 30 hrs/week Hours needed,I'm looking for a knowledgeable tutor to guide me through the process of connecting Notion with a custom GPT model using an action. The…,https://www.upwork.com/freelance-jobs/apply/Notion-and-Custom-GPT-Integration-Tutorial-via-make-com-can-get-this-work-myself-lol_~021844063516365381903/
8,Freelancer Programmer Needed for EDM Machine (Charmille Agie E600…,Intermediate,"Machine Learning, Python, EDM, SolidWorks, CNC Programming",Payment to be Determined,Less than 30 hrs/week Hours needed,"We are seeking a skilled freelancer to program our EDM machine, specifically the Charmille Agie E600. The ideal candidate will have exp…",https://www.upwork.com/freelance-jobs/apply/Freelancer-Programmer-Needed-for-EDM-Machine-Charmille-Agie-E600_~021844106509028557299/
9,Code Optimization (Python/Spark),Intermediate,"Machine Learning, Python Script, PySpark, Data Science, Python",Payment to be Determined,Less than 30 hrs/week Hours needed,"I have a script that implements running apriori algorithm and then son algorithm on a dataset to generate the candidates (singles, doub…",https://www.upwork.com/freelance-jobs/apply/Code-Optimization-Python-Spark_~021844118800782148183/
